experiment,model,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_broader_targets1,logistic_l2,42,train,17197,4418,0.25690527417572834,0.8541473756318257,0.9296133832912765,0.84731028061605,0.8843560350640594,0.5937075599818923,0.7104550379198266,12436,343,1795,2623,failure_pressure_loose_next_4obs
test_broader_targets1,logistic_l2,42,validation,6043,2086,0.3451927850405428,0.8541473756318257,0.8222257920778765,0.7457731333966596,0.5736731843575419,0.7876318312559923,0.6638383838383838,2736,1221,443,1643,failure_pressure_loose_next_4obs
test_broader_targets1,logistic_l2,42,test,4412,1398,0.3168631006346328,0.8541473756318257,0.902137901049276,0.8471369054085869,0.37198464912280704,0.9706723891273248,0.5378517637732858,723,2291,41,1357,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,42,train,17197,4418,0.25690527417572834,0.4076344254973417,0.995668113687112,0.9870914995100368,0.8760991207034372,0.9923042100497963,0.9305879855656973,12159,620,34,4384,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,42,validation,6043,2086,0.3451927850405428,0.4076344254973417,0.9263485876819142,0.8795830960308193,0.813212927756654,0.8202301054650047,0.8167064439140811,3564,393,375,1711,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,42,test,4412,1398,0.3168631006346328,0.4076344254973417,0.9509558635760823,0.9185813891483303,0.8128342245989305,0.8698140200286123,0.8403593642017968,2734,280,182,1216,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,202,train,17197,4418,0.25690527417572834,0.38938823061028477,0.9956986675776037,0.9871298767370659,0.8667455154740784,0.995246717971933,0.9265620061110527,12103,676,21,4397,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,202,validation,6043,2086,0.3451927850405428,0.38938823061028477,0.9260098552245847,0.8813102722154074,0.8050139275766016,0.8312559923298178,0.8179245283018868,3537,420,352,1734,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,202,test,4412,1398,0.3168631006346328,0.38938823061028477,0.9503938700940676,0.9192006866605376,0.7970071567989591,0.8762517882689557,0.8347529812606475,2702,312,173,1225,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,777,train,17197,4418,0.25690527417572834,0.43730315000360975,0.9955921629146902,0.9868138532965309,0.8924089693478708,0.9818922589406971,0.9350145489815712,12256,523,80,4338,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,777,validation,6043,2086,0.3451927850405428,0.43730315000360975,0.9260959921262875,0.8804111670985258,0.8333333333333334,0.800575263662512,0.8166259168704156,3623,334,416,1670,failure_pressure_loose_next_4obs
test_broader_targets1,random_forest,777,test,4412,1398,0.3168631006346328,0.43730315000360975,0.9504259094184222,0.9190109720625922,0.832398316970547,0.8490701001430615,0.8406515580736543,2775,239,211,1187,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,42,train,17197,4418,0.25690527417572834,0.5114053449949324,0.9633367218335904,0.9145529255371028,0.7742382271468145,0.8856948845631507,0.8262246621621622,11638,1141,505,3913,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,42,validation,6043,2086,0.3451927850405428,0.5114053449949324,0.9219767461864128,0.8812339714065092,0.8084309133489461,0.8274209012464045,0.8178156834873253,3548,409,360,1726,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,42,test,4412,1398,0.3168631006346328,0.5114053449949324,0.9488740194780105,0.913442795741253,0.7882653061224489,0.8841201716738197,0.8334457181389077,2682,332,162,1236,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,202,train,17197,4418,0.25690527417572834,0.5114053449949324,0.9633367218335904,0.9145529255371028,0.7742382271468145,0.8856948845631507,0.8262246621621622,11638,1141,505,3913,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,202,validation,6043,2086,0.3451927850405428,0.5114053449949324,0.9219561508653306,0.8817590693080424,0.8083411433926898,0.826941514860978,0.8175355450236967,3548,409,361,1725,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,202,test,4412,1398,0.3168631006346328,0.5114053449949324,0.9488286897672568,0.9132888208248744,0.7882653061224489,0.8841201716738197,0.8334457181389077,2682,332,162,1236,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,777,train,17197,4418,0.25690527417572834,0.5252933396136679,0.9633367218335904,0.9145529255371028,0.7813189015834837,0.8822996831145314,0.8287445519294143,11688,1091,520,3898,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,777,validation,6043,2086,0.3451927850405428,0.5252933396136679,0.9220455587886172,0.8813638828107025,0.8130929791271347,0.8216682646212847,0.8173581306628518,3563,394,372,1714,failure_pressure_loose_next_4obs
test_broader_targets1,gradient_boosting,777,test,4412,1398,0.3168631006346328,0.5252933396136679,0.9488092288443154,0.9132898215882026,0.7927927927927928,0.8812589413447782,0.8346883468834688,2692,322,166,1232,failure_pressure_loose_next_4obs
test_broader_targets1,logistic_l2,42,train,17164,7108,0.4141225821486833,0.16386625641202632,0.9693417621029604,0.9486572903946021,0.7702955069757222,0.9864940911648846,0.8650916044661033,7965,2091,96,7012,success_composite_loose_next_4obs
test_broader_targets1,logistic_l2,42,validation,6012,2360,0.3925482368596141,0.16386625641202632,0.9341410325431155,0.862156038464974,0.7667709419534237,0.9347457627118644,0.8424670612946342,2981,671,154,2206,success_composite_loose_next_4obs
test_broader_targets1,logistic_l2,42,test,4350,1819,0.4181609195402299,0.16386625641202632,0.9279758916863549,0.8532105759875331,0.8724279835390947,0.582737768004398,0.6987475280158206,2376,155,759,1060,success_composite_loose_next_4obs
test_broader_targets1,random_forest,42,train,17164,7108,0.4141225821486833,0.5513521466075239,0.9976478792481854,0.9968299645610548,0.9525177887246853,0.9793190770962296,0.9657325194228634,9709,347,147,6961,success_composite_loose_next_4obs
test_broader_targets1,random_forest,42,validation,6012,2360,0.3925482368596141,0.5513521466075239,0.9644350901293927,0.9361661228200527,0.8623529411764705,0.9317796610169492,0.895723014256619,3301,351,161,2199,success_composite_loose_next_4obs
test_broader_targets1,random_forest,42,test,4350,1819,0.4181609195402299,0.5513521466075239,0.9731170755854451,0.9541342023481635,0.8952080042127436,0.9345794392523364,0.9144701452393761,2332,199,119,1700,success_composite_loose_next_4obs
test_broader_targets1,random_forest,202,train,17164,7108,0.4141225821486833,0.5099872245963187,0.9976280829605196,0.9968028240275089,0.94298422968055,0.9842431063590321,0.9631720245060921,9633,423,112,6996,success_composite_loose_next_4obs
test_broader_targets1,random_forest,202,validation,6012,2360,0.3925482368596141,0.5099872245963187,0.9643341470659217,0.9374215197519349,0.8514700267277587,0.9449152542372882,0.89576220124523,3263,389,130,2230,success_composite_loose_next_4obs
test_broader_targets1,random_forest,202,test,4350,1819,0.4181609195402299,0.5099872245963187,0.973272813484426,0.9538017874201418,0.8794688457609806,0.9466739967014843,0.9118347895154885,2295,236,97,1722,success_composite_loose_next_4obs
test_broader_targets1,random_forest,777,train,17164,7108,0.4141225821486833,0.5396593004130619,0.9975829082517755,0.9967432870702125,0.949461926168097,0.9805852560495216,0.9647726486262025,9685,371,138,6970,success_composite_loose_next_4obs
test_broader_targets1,random_forest,777,validation,6012,2360,0.3925482368596141,0.5396593004130619,0.9635525924963334,0.932488762595901,0.8591439688715953,0.9355932203389831,0.8957403651115619,3290,362,152,2208,success_composite_loose_next_4obs
test_broader_targets1,random_forest,777,test,4350,1819,0.4181609195402299,0.5396593004130619,0.973058646722369,0.9532684446262348,0.8894080996884736,0.9417262231995602,0.9148197596795729,2318,213,106,1713,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,42,train,17164,7108,0.4141225821486833,0.5967795290519935,0.9830309719705832,0.973462708265581,0.9096809085992429,0.9465391108610017,0.9277440706012136,9388,668,380,6728,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,42,validation,6012,2360,0.3925482368596141,0.5967795290519935,0.9627578689178904,0.933470051574889,0.8593260188087775,0.9292372881355933,0.8929153094462541,3293,359,167,2193,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,42,test,4350,1819,0.4181609195402299,0.5967795290519935,0.9700900695042821,0.947723339192553,0.8911780243000528,0.9274326553051127,0.9089439655172413,2325,206,132,1687,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,202,train,17164,7108,0.4141225821486833,0.5967795290519935,0.9830309719705832,0.973462708265581,0.9096809085992429,0.9465391108610017,0.9277440706012136,9388,668,380,6728,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,202,validation,6012,2360,0.3925482368596141,0.5967795290519935,0.9627449899753096,0.9334820388374726,0.8592708741669933,0.9288135593220339,0.8926898798615353,3293,359,168,2192,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,202,test,4350,1819,0.4181609195402299,0.5967795290519935,0.9700301201875199,0.9474541193726689,0.8911780243000528,0.9274326553051127,0.9089439655172413,2325,206,132,1687,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,777,train,17164,7108,0.4141225821486833,0.5967795290519935,0.9830309719705832,0.973462708265581,0.9096809085992429,0.9465391108610017,0.9277440706012136,9388,668,380,6728,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,777,validation,6012,2360,0.3925482368596141,0.5967795290519935,0.9627746927618023,0.933513515097164,0.8589894242068156,0.9292372881355933,0.8927335640138407,3292,360,167,2193,success_composite_loose_next_4obs
test_broader_targets1,gradient_boosting,777,test,4350,1819,0.4181609195402299,0.5967795290519935,0.9701139623479192,0.9477636178176824,0.8925925925925926,0.9274326553051127,0.9096791588029118,2328,203,132,1687,success_composite_loose_next_4obs
